iter	Logloss
0	0.6592327783
1	0.6248158692
2	0.600096933
3	0.5791640158
4	0.554848728
5	0.5344437913
6	0.5217735411
7	0.5103724429
8	0.4969869963
9	0.4846270214
10	0.4742494875
11	0.4679288217
12	0.4609050141
13	0.4543655628
14	0.4478418059
15	0.4445404036
16	0.4403444744
17	0.4362018453
18	0.4323623565
19	0.4281117071
20	0.425295606
21	0.4225808481
22	0.4202778919
23	0.417670625
24	0.4159579825
25	0.4140745535
26	0.4122495142
27	0.4102247797
28	0.4085433395
29	0.4073390887
30	0.4051823064
31	0.4037087478
32	0.4025648885
33	0.4008490041
34	0.3996954601
35	0.3980581499
36	0.3970774029
37	0.3957875552
38	0.3947615384
39	0.3938585412
40	0.39282735
41	0.3918450826
42	0.3911611148
43	0.3903179596
44	0.3899531477
45	0.3890166044
46	0.3878432884
47	0.387039307
48	0.3865238542
49	0.3856525701
50	0.3846050145
51	0.3839972455
52	0.3835306292
53	0.3826592443
54	0.3818677629
55	0.3815187514
56	0.3808463182
57	0.3801246085
58	0.3793255653
59	0.3785843717
60	0.3780535954
61	0.3772312409
62	0.3766543243
63	0.3760432378
64	0.375558695
65	0.3750766174
66	0.374275136
67	0.373516229
68	0.3731564953
69	0.3725215517
70	0.3715969852
71	0.3712250064
72	0.3705350589
73	0.3697644352
74	0.3693606211
75	0.3689400081
76	0.3684075842
77	0.3681627945
78	0.3677510425
79	0.3672114809
80	0.3667913894
81	0.366099473
82	0.3652778913
83	0.3648927466
84	0.3643946883
85	0.3640787471
86	0.3638090853
87	0.3631647889
88	0.3626385388
89	0.3622615609
90	0.3618199678
91	0.3613621445
92	0.3609770211
93	0.3607769526
94	0.3602813822
95	0.3598478681
96	0.3595145468
97	0.3592023514
98	0.3588284935
99	0.3585859828
100	0.3579583142
101	0.3575357836
102	0.3571215912
103	0.3567344665
104	0.3561821529
105	0.3555119611
106	0.3553169484
107	0.3549612982
108	0.3547187333
109	0.3544804501
110	0.3540292855
111	0.3534702939
112	0.3532401825
113	0.3529651763
114	0.3526230595
115	0.3523527006
116	0.3519150233
117	0.3515986713
118	0.3510637969
119	0.3505861751
120	0.3503346401
121	0.3498941618
122	0.3495326084
123	0.3489185899
124	0.3486530534
125	0.3483555032
126	0.3480475232
127	0.347656102
128	0.3474692088
129	0.3471345132
130	0.3467418707
131	0.3461944104
132	0.3457166322
133	0.3454092605
134	0.3449217385
135	0.3444819108
136	0.3438675525
137	0.3435530253
138	0.3431673696
139	0.3427622025
140	0.3422994965
141	0.3419280672
142	0.3415968534
143	0.3412945438
144	0.3409638004
145	0.3407995003
146	0.3404166783
147	0.3400307688
148	0.3395980543
149	0.3393074837
150	0.3391560216
151	0.3388682742
152	0.3382839491
153	0.3379033357
154	0.3376040102
155	0.337133159
156	0.3366951294
157	0.3362875421
158	0.3358523662
159	0.3354793046
160	0.335296012
161	0.3349145073
162	0.3346127235
163	0.3341222365
164	0.3337343948
165	0.3334577995
166	0.332987214
167	0.3326221764
168	0.3322632378
169	0.3320683455
170	0.331707635
171	0.3312449909
172	0.3310537783
173	0.3307204243
174	0.3304748923
175	0.3302009059
176	0.3299620965
177	0.3295193025
178	0.3289863795
179	0.3285113899
180	0.32830722
181	0.3279701422
182	0.3274021161
183	0.3270031072
184	0.3266982626
185	0.3264386981
186	0.3260336422
187	0.3256266146
188	0.3254020759
189	0.3249254808
190	0.3242765849
191	0.3239210083
192	0.3233652128
193	0.3231479362
194	0.3225020411
195	0.3221199748
196	0.3216775901
197	0.3212854602
198	0.3210237943
199	0.3205307068
200	0.3203433582
201	0.3201241123
202	0.3197107824
203	0.3194269394
204	0.3191768552
205	0.3187448053
206	0.3185058088
207	0.3180831043
208	0.3178318324
209	0.3173209198
210	0.3169370914
211	0.316708908
212	0.3163110861
213	0.3160905775
214	0.3155655537
215	0.3152819579
216	0.314671928
217	0.3143169071
218	0.3139619764
219	0.3135461941
220	0.3132038072
221	0.3127591816
222	0.3123883049
223	0.3121777177
224	0.3116757819
225	0.3113986811
226	0.3109378242
227	0.3105749548
228	0.3104019239
229	0.3099361125
230	0.3093780989
231	0.3090181135
232	0.308709995
233	0.3084356201
234	0.3080511905
235	0.3077248406
236	0.307363024
237	0.3070302087
238	0.3067970743
239	0.3062694987
240	0.3059195709
241	0.3056160846
242	0.3053825526
243	0.3050973923
244	0.3048980679
245	0.3046834168
246	0.3044546644
247	0.3042871256
248	0.3040229058
249	0.3035626794
250	0.3031325794
251	0.3026656725
252	0.3022893837
253	0.3019260557
254	0.3016731741
255	0.3013075549
256	0.3010439963
257	0.3006731819
258	0.3004994276
259	0.3002250006
260	0.299884455
261	0.2995346819
262	0.2992846425
263	0.2990605786
264	0.2988226869
265	0.2984700202
266	0.2981456887
267	0.2979244335
268	0.2975534592
269	0.297186361
270	0.2969975329
271	0.2966725975
272	0.2964007733
273	0.2959417626
274	0.2957241985
275	0.2953001967
276	0.2950185675
277	0.294799968
278	0.2945415823
279	0.2941596334
280	0.2938255913
281	0.2933918753
282	0.2931212601
283	0.292703794
284	0.2923932851
285	0.2920903313
286	0.2917404192
287	0.2914245246
288	0.2910135262
289	0.2909053642
290	0.290647184
291	0.2904055613
292	0.2902139012
293	0.2900410858
294	0.2897508582
295	0.289528187
296	0.2892342034
297	0.2890069017
298	0.2888123398
299	0.2884840199
4
987
