iter	Passed	Remaining
0	156	46734
1	166	24771
2	177	17565
3	190	14061
4	200	11817
5	208	1019966	217	912277	233	851988	245	793599	256	7439110	267	7023111	279	6699
12	293	6475
13	304	6211
14	317	6035
15	328	5838
16	342	5706117	352	5524118	363	5376119	376	5271
20	386	5135
21	395	4991
22	400	4826
23	407	4691
24	416	4579
25	423	4460
26	431	4363
27	438	4260
28	446	4171
29	453	4085
30	461	4001
31	467	3914
32	473	3834
33	479	3752
34	485	3678
35	492	3609
36	498	3545
37	505	3486
38	512	3428
39	518	3370
40	541	3417
41	547	3362
42	555	3322
43	563	3278
44	572	3242
45	582	3218
46	593	3192
47	601	3155
48	608	3115
49	615	3079
50	622	3040
51	629	3004
52	636	2965
53	642	2928
54	649	2893
55	655	2857
56	661	2820
57	668	2789
58	674	2755
59	680	2720
60	685	2687
61	692	2657
62	698	2626
63	703	2595
64	709	2566
65	715	2537
66	722	2513
67	728	2486
68	735	2461
69	741	2436
70	747	2411
71	754	2389
72	760	2364
73	766	2342
74	773	2320
75	780	2299
76	786	2276
77	791	2254
78	797	2231
79	804	2211
80	810	2190
81	816	2169
82	822	2151
83	829	2133
84	835	2112
85	841	2094
86	847	2076
87	854	2057
88	860	2039
89	866	2022
90	881	2023
91	889	2010
92	897	1997
93	905	1984
94	912	1968
95	919	1953
96	926	1938
97	934	1927
98	941	1912
99	949	1898
100	956	1884
101	963	1870
102	971	1858
103	977	1842
104	983	1827
105	990	1812
106	996	1797
107	1002	1782
108	1008	1767
109	1014	1753
110	1021	1738
111	1027	1724
112	1033	1709
113	1039	1695
114	1045	1681
115	1051	1668
116	1058	1654
117	1064	1641
118	1070	1627
119	1076	1614
120	1082	1600
121	1089	1589
122	1095	1576
123	1102	1564
124	1108	1551
125	1114	1538
126	1120	1526
127	1126	1513
128	1132	1500
129	1138	1488
130	1144	1477
131	1151	1465
132	1156	1452
133	1164	1442
134	1171	1431
135	1176	1419
136	1182	1407
137	1188	1395
138	1196	1385
139	1202	1374
140	1208	1362
141	1214	1351
142	1219	1339
143	1226	1328
144	1232	1317
145	1236	1304
146	1243	1294
147	1249	1283
148	1255	1272
149	1262	1262
150	1274	1257
151	1284	1250
152	1290	1240
153	1298	1230
154	1304	1219
155	1309	1208
156	1315	1198
157	1321	1187
158	1327	1177
159	1333	1167
160	1340	1157
161	1346	1147
162	1353	1137
163	1359	1127
164	1367	1118
165	1373	1108
166	1380	1099
167	1386	1089
168	1392	1079
169	1399	1069
170	1404	1059
171	1410	1049
172	1416	1040
173	1423	1030
174	1429	1021
175	1435	1011
176	1442	1002
177	1448	992
178	1455	983
179	1462	975
180	1468	965
181	1474	956
182	1480	946
183	1486	937
184	1493	928
185	1499	919
186	1505	910
187	1512	901
188	1519	892
189	1526	883
190	1532	874
191	1538	865
192	1545	857
193	1552	848
194	1558	839
195	1569	832
196	1577	824
197	1585	816
198	1591	807
199	1597	798
200	1604	790
201	1609	781
202	1616	772
203	1622	763
204	1628	754
205	1634	746
206	1641	737
207	1648	729
208	1655	720
209	1661	712
210	1667	703
211	1673	694
212	1680	686
213	1686	677
214	1692	669
215	1699	660
216	1705	652
217	1712	644
218	1718	635
219	1724	627
220	1731	618
221	1737	610
222	1743	602
223	1749	593
224	1756	585
225	1762	577
226	1768	568
227	1774	560
228	1780	551
229	1787	543
230	1793	535
231	1800	527
232	1806	519
233	1812	511
234	1817	502
235	1823	494
236	1829	486
237	1835	478
238	1841	470
239	1848	462
240	1855	454
241	1861	446
242	1867	438
243	1873	430
244	1880	422
245	1886	414
246	1892	406
247	1898	398
248	1904	390
249	1911	382
250	1917	374
251	1924	366
252	1931	358
253	1936	350
254	1942	342
255	1949	335
256	1958	327
257	1966	320
258	1975	312
259	1981	304
260	1988	297
261	1994	289
262	2000	281
263	2006	273
264	2012	265
265	2020	258
266	2026	250
267	2032	242
268	2038	234
269	2045	227
270	2056	220
271	2064	212
272	2070	204
273	2077	197
274	2083	189
275	2090	181
276	2098	174
277	2107	166
278	2117	159
279	2126	151
280	2134	144
281	2140	136
282	2146	128
283	2152	121
284	2157	113
285	2162	105
286	2167	98
287	2172	90
288	2177	82
289	2183	75
290	2188	67
291	2193	60
292	2199	52
293	2203	44
294	2208	37
295	2214	29
296	2221	22
297	2226	14
298	2231	7
299	2235	0
